Year,CO2 (ppm)
2024,424.61
2023,421.08
2022,418.53
2021,416.41
2020,414.21
2019,411.65
2018,408.72
2017,406.76
2016,404.41
2015,401.01
2014,398.81
2013,396.74
2012,394.06
2011,391.85
2010,390.1
2009,387.64
2008,385.83
2007,384.02
2006,382.09
2005,379.98
2004,377.7
2003,375.98
2002,373.45
2001,371.32
2000,369.71
1999,368.54
1998,366.84
1997,363.88
1996,362.74
1995,360.97
1994,358.96
1993,357.21
1992,356.54
1991,355.7
1990,354.45
1989,353.2
1988,351.69
1987,349.31
1986,347.61
1985,346.35
1984,344.87
1983,343.15
1982,341.48
1981,340.12
1980,338.76
1979,336.84
1978,335.41
1977,333.84
1976,332.03
1975,331.13
1974,330.19
1973,329.68
1972,327.46
1971,326.32
1970,325.68
1969,324.62
1968,323.05
1967,322.18
1966,321.37
1965,320.04
1964,319.62
1963,318.99
1962,318.45
1961,317.64
1960,316.91
1959,315.98
